docid,year,num_reviews,overall_rating
acura_mdx,2007,169,8.91
acura_rdx,2007,164,8.88
acura_rl,2007,22,9.37
acura_tl,2007,151,9.04
acura_tsx,2007,56,9.22
audi_a3,2007,40,8.93
audi_a4,2007,94,8.92
audi_a6,2007,20,9.19
audi_a8,2007,18,9.79
audi_q7,2007,72,8.4
audi_rs4,2007,26,9.58
audi_s8,2007,14,8.98
bmw_3_series,2007,265,9.04
bmw_5_series,2007,91,9.43
bmw_6_series,2007,17,8.52
bmw_x3,2007,76,8.69
bmw_x5,2007,44,8.18
bmw_z4,2007,22,9.07
buick_lacrosse,2007,31,8.48
buick_lucerne,2007,87,8.56
buick_rainier,2007,14,9.04
buick_rendezvous,2007,39,8.49
cadillac_cts,2007,38,8.65
cadillac_dts,2007,20,8.32
cadillac_escalade,2007,75,8.48
cadillac_escalade_esv,2007,22,8.42
cadillac_escalade_ext,2007,17,8.85
cadillac_srx,2007,34,8.54
cadillac_sts,2007,22,8.95
chevrolet_avalanche,2007,95,9.01
chevrolet_aveo,2007,77,8.01
chevrolet_cobalt,2007,132,8.51
chevrolet_colorado,2007,45,7.62
chevrolet_corvette,2007,85,9.18
chevrolet_equinox,2007,75,8.65
chevrolet_hhr,2007,120,8.94
chevrolet_impala,2007,154,8.36
chevrolet_malibu,2007,37,8.46
chevrolet_malibu_maxx,2007,14,8.05
chevrolet_monte_carlo,2007,24,9.14
chevrolet_silverado_1500,2007,141,8.71
chevrolet_silverado_1500_classic,2007,54,8.25
chevrolet_silverado_2500hd,2007,19,8.26
chevrolet_silverado_2500hd_classic,2007,11,9.01
chevrolet_suburban,2007,70,8.29
chevrolet_tahoe,2007,201,8.65
chevrolet_trailblazer,2007,62,8.82
chevrolet_uplander,2007,31,6.89
chrysler_300,2007,62,8.69
chrysler_aspen,2007,49,9.1
chrysler_crossfire,2007,14,8.89
chrysler_pacifica,2007,98,8.78
chrysler_pt_cruiser,2007,43,7.7
chrysler_sebring,2007,55,7.87
